Data from sienaBrucWhite_Reflection__3__57.txt Node;
"Date: Thu Sep 11 17:17:03 CEST 2025 User: sycur";
592,662;18,1
592,907;18,18
593,151;18,26
593,395;18,32
593,639;18,4
593,883;18,47
594,127;18,53
594,371;18,61
594,615;18,68
594,859;18,74
595,103;18,82
595,347;18,9
595,591;18,97
595,835;19,03
596,079;19,11
596,323;19,19
596,567;19,27
596,811;19,34
597,055;19,42
597,299;19,49
597,542;19,58
597,786;19,65
598,03;19,74
598,274;19,81
598,518;19,89
598,761;19,97
599,005;20,04
599,249;20,13
599,492;20,21
599,736;20,28
599,98;20,36
600,223;20,42
600,467;20,5
600,711;20,58
600,954;20,67
601,198;20,73
601,441;20,8
601,685;20,87
601,928;20,94
602,172;21,01
602,415;21,08
602,659;21,14
602,902;21,22
603,145;21,28
603,389;21,35
603,632;21,42
603,876;21,5
604,119;21,57
604,362;21,63
604,606;21,69
604,849;21,77
605,092;21,83
605,335;21,91
605,579;21,97
605,822;22,04
606,065;22,1
606,308;22,17
606,551;22,25
606,794;22,31
607,037;22,39
607,281;22,46
607,524;22,53
607,767;22,6
608,01;22,66
608,253;22,73
608,496;22,8
608,739;22,86
608,982;22,92
609,225;22,99
609,468;23,06
609,711;23,13
609,953;23,19
610,196;23,24
610,439;23,31
610,682;23,38
610,925;23,45
611,168;23,51
611,41;23,56
611,653;23,63
611,896;23,69
612,139;23,75
612,381;23,81
612,624;23,88
612,867;23,93
613,109;24
613,352;24,06
613,595;24,12
613,837;24,17
614,08;24,24
614,322;24,29
614,565;24,36
614,807;24,41
615,05;24,48
615,292;24,55
615,535;24,61
615,777;24,67
616,02;24,73
616,262;24,79
616,505;24,85
616,747;24,91
616,989;24,99
617,232;25,05
617,474;25,12
617,716;25,17
617,959;25,24
618,201;25,31
618,443;25,37
618,685;25,42
618,927;25,5
619,17;25,54
619,412;25,61
619,654;25,66
619,896;25,73
620,138;25,79
620,38;25,84
620,622;25,9
620,864;25,97
621,107;26,02
621,349;26,08
621,591;26,14
621,833;26,2
622,075;26,25
622,316;26,31
622,558;26,36
