Data from crisocollaWhite_Reflection__2__60.txt Node;
"Date: Fri Sep 12 11:59:42 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
550,888;45,48
551,135;45,49
551,382;45,5
551,629;45,51
551,876;45,51
552,124;45,52
552,371;45,51
552,618;45,49
552,865;45,49
553,112;45,47
553,359;45,47
553,606;45,45
553,854;45,45
554,101;45,46
554,348;45,46
554,595;45,47
554,842;45,47
555,089;45,47
555,336;45,47
555,582;45,47
555,829;45,47
556,076;45,47
556,323;45,46
556,57;45,46
556,817;45,46
557,064;45,47
557,311;45,46
557,557;45,46
557,804;45,49
558,051;45,49
558,298;45,51
558,544;45,51
558,791;45,5
559,038;45,49
559,284;45,48
559,531;45,47
559,778;45,46
560,024;45,47
560,271;45,48
560,517;45,49
560,764;45,48
561,011;45,47
561,257;45,47
561,504;45,46
561,75;45,46
561,997;45,46
562,243;45,45
562,489;45,44
562,736;45,45
562,982;45,44
563,229;45,42
563,475;45,41
563,721;45,41
563,968;45,41
564,214;45,41
564,46;45,4
564,707;45,41
564,953;45,4
565,199;45,37
565,445;45,35
565,691;45,32
565,938;45,31
566,184;45,3
566,43;45,29
566,676;45,27
566,922;45,25
567,168;45,25
567,414;45,23
567,66;45,22
567,906;45,2
568,152;45,17
568,398;45,15
568,644;45,12
568,89;45,1
569,136;45,08
569,382;45,04
569,628;45
569,874;44,97
570,12;44,95
570,366;44,94
570,612;44,92
570,857;44,9
571,103;44,88
571,349;44,85
571,595;44,83
571,84;44,8
572,086;44,78
572,332;44,74
572,578;44,71
572,823;44,67
573,069;44,65
573,315;44,63
573,56;44,62
573,806;44,61
574,051;44,6
574,297;44,58
574,542;44,57
574,788;44,55
575,034;44,52
575,279;44,49
575,524;44,46
575,77;44,44
576,015;44,41
576,261;44,38
576,506;44,36
576,752;44,34
576,997;44,32
577,242;44,29
577,488;44,27
577,733;44,25
577,978;44,23
578,223;44,21
578,469;44,19
578,714;44,16
578,959;44,13
579,204;44,1
579,45;44,07
579,695;44,03
579,94;44,01
580,185;43,98
580,43;43,95
580,675;43,93
580,92;43,92
581,165;43,91
581,41;43,9
581,655;43,88
581,9;43,85
582,145;43,83
582,39;43,81
582,635;43,79
582,88;43,77
583,125;43,75
583,37;43,73
583,615;43,7
583,86;43,68
584,105;43,65
584,349;43,64
584,594;43,61
584,839;43,6
585,084;43,58
585,328;43,57
585,573;43,56
585,818;43,53
586,063;43,51
586,307;43,49
586,552;43,46
586,797;43,44
587,041;43,43
587,286;43,41
587,53;43,38
587,775;43,36
588,019;43,35
588,264;43,33
588,508;43,32
588,753;43,3
588,997;43,29
589,242;43,27
589,486;43,26
589,731;43,25
589,975;43,23
590,22;43,2
590,464;43,17
590,708;43,14
590,953;43,12
591,197;43,07
591,441;43,04
591,685;43,01
591,93;42,97
592,174;42,94
592,418;42,9
592,662;42,87
592,907;42,85
593,151;42,82
593,395;42,77
593,639;42,74
