Data from CoccinigliaWhite_Reflection__1__47.txt Node;
"Date: Fri Sep 12 11:37:40 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
492,034;0,79
492,286;0,79
492,537;0,81
492,789;0,81
493,04;0,81
493,291;0,8
493,543;0,79
493,794;0,79
494,045;0,79
494,297;0,79
494,548;0,8
494,799;0,8
495,051;0,81
495,302;0,81
495,553;0,81
495,804;0,81
496,056;0,82
496,307;0,82
496,558;0,82
496,809;0,84
497,06;0,84
497,311;0,83
497,562;0,83
497,813;0,83
498,064;0,83
498,316;0,82
498,567;0,82
498,818;0,82
499,069;0,82
499,319;0,82
499,57;0,82
499,821;0,81
500,072;0,81
500,323;0,81
500,574;0,82
500,825;0,81
501,076;0,8
501,327;0,8
501,577;0,8
501,828;0,8
502,079;0,78
502,33;0,79
502,58;0,79
502,831;0,79
503,082;0,79
503,333;0,79
503,583;0,79
503,834;0,79
504,084;0,8
504,335;0,81
504,586;0,82
504,836;0,81
505,087;0,81
505,337;0,81
505,588;0,8
505,838;0,81
506,089;0,81
506,339;0,81
506,59;0,82
506,84;0,82
507,091;0,82
507,341;0,82
507,591;0,82
507,842;0,82
508,092;0,81
508,343;0,81
508,593;0,82
508,843;0,82
509,093;0,82
509,344;0,81
509,594;0,81
509,844;0,8
510,094;0,81
510,345;0,81
510,595;0,82
510,845;0,82
511,095;0,82
511,345;0,82
511,595;0,82
511,845;0,82
512,095;0,81
512,345;0,82
512,595;0,81
512,845;0,82
513,095;0,83
513,345;0,83
513,595;0,83
513,845;0,84
514,095;0,84
514,345;0,83
514,595;0,85
514,845;0,84
515,095;0,84
515,345;0,84
515,594;0,85
515,844;0,85
516,094;0,85
516,344;0,84
516,593;0,84
516,843;0,84
517,093;0,84
517,343;0,85
517,592;0,85
517,842;0,86
518,092;0,86
518,341;0,85
518,591;0,86
518,84;0,86
519,09;0,85
519,34;0,85
519,589;0,86
519,839;0,86
520,088;0,87
520,338;0,87
520,587;0,88
520,836;0,88
521,086;0,88
521,335;0,89
521,585;0,89
521,834;0,91
522,083;0,92
522,333;0,92
522,582;0,92
522,831;0,92
523,081;0,91
523,33;0,92
523,579;0,93
523,828;0,94
524,078;0,94
524,327;0,94
524,576;0,95
524,825;0,94
525,074;0,94
525,323;0,94
525,573;0,95
525,822;0,94
526,071;0,95
526,32;0,95
526,569;0,96
526,818;0,96
527,067;0,96
527,316;0,96
527,565;0,97
527,814;0,97
528,063;0,97
528,312;0,98
528,56;0,98
528,809;0,98
529,058;0,97
529,307;0,97
529,556;0,98
529,805;0,97
530,053;0,98
530,302;0,99
530,551;1
530,8;0,99
531,048;1,01
531,297;1,01
531,546;1
531,794;1,01
532,043;1,01
532,292;1,01
532,54;1,02
532,789;1,01
533,037;1,02
533,286;1,03
533,535;1,03
533,783;1,03
534,032;1,03
534,28;1,04
534,528;1,04
534,777;1,04
535,025;1,04
535,274;1,03
535,522;1,03
535,771;1,04
536,019;1,03
536,267;1,02
536,516;1,03
536,764;1,03
537,012;1,03
537,26;1,03
537,509;1,03
537,757;1,02
538,005;1,02
538,253;1,02
538,501;1,03
538,75;1,02
538,998;1,03
539,246;1,03
539,494;1,02
539,742;1,03
539,99;1,03
540,238;1,02
540,486;1,03
540,734;1,02
540,982;1,01
541,23;1,01
541,478;1,01
541,726;1,01
541,974;1,01
542,222;1
542,47;1
542,718;1,01
542,966;1,01
543,213;1,01
543,461;1
543,709;0,99
543,957;0,99
544,205;0,99
544,452;0,99
544,7;0,99
544,948;0,99
545,196;0,98
545,443;0,98
545,691;0,98
545,939;0,98
546,186;0,98
546,434;0,99
546,681;0,99
546,929;1
547,176;1,01
547,424;1,01
547,671;1,01
547,919;1,01
548,166;1,01
548,414;1,01
548,661;1,01
548,909;1,01
549,156;1
549,404;1
549,651;1,01
549,898;1,01
550,146;1,01
550,393;1,02
550,64;1,02
550,888;1,02
551,135;1,02
551,382;1,03
551,629;1,02
551,876;1,03
552,124;1,02
552,371;1,01
552,618;1,01
552,865;1,01
553,112;1,01
553,359;1,01
553,606;1,01
553,854;1,02
554,101;1,02
554,348;1,01
554,595;1,01
554,842;1
555,089;1
555,336;0,99
555,582;0,99
555,829;0,99
556,076;0,98
556,323;0,99
556,57;0,99
556,817;0,99
557,064;0,99
557,311;0,99
557,557;0,99
557,804;0,99
558,051;0,99
558,298;1
558,544;1
558,791;0,99
559,038;0,99
559,284;0,99
559,531;1
559,778;1,01
560,024;1,02
560,271;1,02
560,517;1,03
560,764;1,03
561,011;1,04
561,257;1,05
561,504;1,06
561,75;1,06
561,997;1,07
562,243;1,08
562,489;1,08
562,736;1,09
562,982;1,1
563,229;1,1
563,475;1,11
563,721;1,11
563,968;1,12
564,214;1,12
564,46;1,13
564,707;1,14
564,953;1,14
565,199;1,14
565,445;1,15
565,691;1,16
565,938;1,16
566,184;1,17
566,43;1,17
566,676;1,18
566,922;1,18
567,168;1,18
567,414;1,18
567,66;1,19
567,906;1,2
568,152;1,21
568,398;1,22
568,644;1,23
568,89;1,24
569,136;1,25
569,382;1,27
569,628;1,27
569,874;1,27
570,12;1,28
570,366;1,29
570,612;1,29
570,857;1,3
571,103;1,31
571,349;1,31
571,595;1,33
571,84;1,33
572,086;1,35
572,332;1,36
572,578;1,37
572,823;1,37
573,069;1,38
573,315;1,39
573,56;1,41
573,806;1,42
574,051;1,43
574,297;1,44
574,542;1,45
574,788;1,47
575,034;1,49
575,279;1,5
575,524;1,51
575,77;1,52
576,015;1,53
576,261;1,55
576,506;1,56
576,752;1,57
576,997;1,58
577,242;1,59
577,488;1,61
577,733;1,61
577,978;1,63
578,223;1,64
578,469;1,66
578,714;1,67
578,959;1,69
579,204;1,7
579,45;1,72
579,695;1,74
579,94;1,75
580,185;1,77
580,43;1,78
580,675;1,8
580,92;1,82
581,165;1,84
581,41;1,85
581,655;1,87
581,9;1,89
582,145;1,9
582,39;1,92
582,635;1,94
582,88;1,97
583,125;1,98
583,37;2,01
583,615;2,02
583,86;2,04
584,105;2,06
584,349;2,09
584,594;2,1
584,839;2,13
585,084;2,15
585,328;2,18
585,573;2,2
585,818;2,23
586,063;2,25
586,307;2,27
586,552;2,3
586,797;2,32
587,041;2,34
587,286;2,37
587,53;2,4
587,775;2,42
588,019;2,45
588,264;2,47
588,508;2,5
588,753;2,52
588,997;2,55
589,242;2,59
589,486;2,62
589,731;2,65
589,975;2,69
590,22;2,73
590,464;2,76
590,708;2,8
590,953;2,84
591,197;2,89
591,441;2,93
591,685;2,97
591,93;3,01
592,174;3,06
592,418;3,1
592,662;3,14
592,907;3,19
593,151;3,24
593,395;3,28
