Data from GaranzaWhite_Reflection__3__43.txt Node;
563,968;28,35
564,214;28,45
564,46;28,55
564,707;28,66
564,953;28,77
565,199;28,87
565,445;28,98
565,691;29,1
565,938;29,2
566,184;29,33
566,43;29,44
566,676;29,54
566,922;29,64
567,168;29,77
567,414;29,88
567,66;30,01
567,906;30,12
568,152;30,24
568,398;30,36
568,644;30,48
568,89;30,6
569,136;30,72
569,382;30,83
569,628;30,94
569,874;31,03
570,12;31,14
570,366;31,26
570,612;31,36
570,857;31,47
571,103;31,59
571,349;31,69
571,595;31,8
571,84;31,92
572,086;32,04
572,332;32,13
572,578;32,25
572,823;32,35
573,069;32,46
573,315;32,58
573,56;32,7
573,806;32,82
574,051;32,94
574,297;33,06
574,542;33,18
574,788;33,32
575,034;33,45
575,279;33,57
575,524;33,7
575,77;33,82
576,015;33,93
576,261;34,04
576,506;34,16
576,752;34,28
576,997;34,39
577,242;34,5
577,488;34,64
577,733;34,77
577,978;34,91
578,223;35,04
578,469;35,18
578,714;35,3
578,959;35,43
579,204;35,56
579,45;35,69
579,695;35,82
579,94;35,93
580,185;36,05
580,43;36,18
580,675;36,29
580,92;36,41
581,165;36,54
581,41;36,66
581,655;36,78
581,9;36,91
582,145;37,04
582,39;37,18
582,635;37,3
582,88;37,43
583,125;37,55
583,37;37,69
583,615;37,81
583,86;37,96
584,105;38,1
584,349;38,25
584,594;38,39
584,839;38,54
585,084;38,69
585,328;38,84
585,573;38,98
585,818;39,12
586,063;39,25
586,307;39,37
586,552;39,5
586,797;39,64
587,041;39,78
587,286;39,91
587,53;40,05
587,775;40,16
588,019;40,3
588,264;40,44
588,508;40,59
588,753;40,72
588,997;40,86
589,242;41
589,486;41,15
589,731;41,31
589,975;41,47
590,22;41,61
590,464;41,76
590,708;41,9
590,953;42,04
591,197;42,18
591,441;42,34
591,685;42,48
591,93;42,62
592,174;42,76
592,418;42,89
592,662;43,02
592,907;43,15
593,151;43,27
593,395;43,39
593,639;43,5
593,883;43,63
594,127;43,76
594,371;43,89
594,615;44
594,859;44,13
595,103;44,24
595,347;44,39
595,591;44,51
595,835;44,65
596,079;44,79
596,323;44,94
596,567;45,06
596,811;45,19
597,055;45,32
597,299;45,45
597,542;45,59
597,786;45,72
598,03;45,87
598,274;45,99
598,518;46,12
598,761;46,25
599,005;46,36
599,249;46,47
599,492;46,61
599,736;46,74
599,98;46,87
600,223;46,99
600,467;47,11
600,711;47,25
600,954;47,4
601,198;47,53
601,441;47,66
601,685;47,79
601,928;47,93
602,172;48,07
602,415;48,19
602,659;48,33
602,902;48,46
603,145;48,59
603,389;48,73
603,632;48,85
603,876;48,99
604,119;49,14
604,362;49,26
604,606;49,37
604,849;49,49
605,092;49,6
605,335;49,73
605,579;49,86
605,822;49,97
606,065;50,09
606,308;50,2
606,551;50,33
606,794;50,44
607,037;50,56
607,281;50,68
607,524;50,8
607,767;50,92
608,01;51,05
608,253;51,17
608,496;51,3
608,739;51,43
608,982;51,53
609,225;51,64
609,468;51,77
609,711;51,91
609,953;52,04
610,196;52,16
610,439;52,27
610,682;52,38
610,925;52,49
611,168;52,61
611,41;52,74
611,653;52,86
611,896;52,99
612,139;53,09
612,381;53,21
612,624;53,34
612,867;53,45
613,109;53,56
613,352;53,68
613,595;53,78
613,837;53,89
614,08;54,01
614,322;54,12
614,565;54,24
614,807;54,34
615,05;54,45
615,292;54,56
615,535;54,67
615,777;54,79
616,02;54,92
616,262;55,04
616,505;55,15
616,747;55,24
616,989;55,34
617,232;55,46
617,474;55,57
617,716;55,67
617,959;55,8
618,201;55,92
618,443;56,02
618,685;56,13
618,927;56,24
619,17;56,36
619,412;56,47
619,654;56,58
619,896;56,68
620,138;56,8
620,38;56,91
620,622;57,03
620,864;57,14
621,107;57,22
621,349;57,3
621,591;57,4
621,833;57,51
622,075;57,61
622,316;57,71
622,558;57,81
622,8;57,92
623,042;58,03
623,284;58,11
623,526;58,22
623,768;58,31
624,01;58,4
624,251;58,5
624,493;58,59
624,735;58,68
624,977;58,78
625,218;58,88
625,46;58,98
625,702;59,08
625,943;59,18
626,185;59,29
626,427;59,4
626,668;59,51
626,91;59,61
627,152;59,73
627,393;59,84
627,635;59,94
627,876;60,03
628,118;60,13
628,359;60,24
628,601;60,34
628,842;60,44
629,084;60,54
629,325;60,63
629,566;60,73
